timestamp,experiment_id,experiment_type,temperature_c,oxygen_percent,humidity_percent,radiation_level,nutrient_level,ph_level,pressure_kpa,cell_growth_rate,viability_score,contamination_score,mission_outcome
01-02-2026 00:00,BIO-2000,Protein Synthesis,34.29,24.99,62.83,0.223,66.32,7.71,88.87,1.94,76.4,11.37,Success
01-02-2026 00:30,BIO-2001,Stem Cell Research,40.73,18.44,55.56,0.491,108.09,7.85,106.02,4.1,80.51,22.84,Failure
01-02-2026 01:00,BIO-2002,Protein Synthesis,33.97,26.94,67.41,0.778,79.47,7.42,101.59,4.23,93.31,14.26,Success
01-02-2026 01:30,BIO-2003,Drug Discovery,38.4,21.99,59.89,0.352,69.66,6.92,100.37,3.87,73.88,16.77,Success
01-02-2026 02:00,BIO-2004,Radiation Biology,35.2,14.19,67.68,4.102,106.13,7.33,110,4.89,68.27,34.97,Failure
01-02-2026 02:30,BIO-2005,Stem Cell Research,37.27,15.08,59.91,0.651,76.12,6.81,105.72,2.27,66.4,9.34,Failure
01-02-2026 03:00,BIO-2006,Drug Discovery,38.74,20.27,55.78,0.853,74,7.26,108.92,1.97,70.7,21.86,Success
01-02-2026 03:30,BIO-2007,Radiation Biology,39.49,17.86,69.1,0.52,75.77,7.18,103.26,2.4,63.41,16.5,Failure
01-02-2026 04:00,BIO-2008,Tissue Engineering,36.16,25.12,49.15,4.23,80.69,7.21,104.21,1.5,52.51,53.21,Failure
01-02-2026 04:30,BIO-2009,Stem Cell Research,32.63,19.36,65.47,0.16,77.24,7.76,107.41,1.39,65.87,17.52,Failure
01-02-2026 05:00,BIO-2010,Radiation Biology,33.57,19.67,79.59,0.094,70.86,7.16,101.6,3,87.55,16.56,Success
01-02-2026 05:30,BIO-2011,Radiation Biology,33.15,18.9,72.05,0.484,83.74,7.54,100.74,1.7,51.79,19.74,Failure
01-02-2026 06:00,BIO-2012,Protein Synthesis,37.93,27.04,61.59,4.048,66.91,7.56,101.47,2.62,39.25,45.39,Failure
01-02-2026 06:30,BIO-2013,Protein Synthesis,33.47,13.49,49.8,0.642,83.31,7.17,107.89,2.68,72.05,15.84,Success
01-02-2026 07:00,BIO-2014,Stem Cell Research,38.66,17.41,75.24,0.326,76.19,7.23,95.76,2.73,70.9,16.03,Success
01-02-2026 07:30,BIO-2015,Tissue Engineering,37.19,27.63,57.69,0.724,81.15,7.3,95.96,2.63,66.11,8.07,Failure
01-02-2026 08:00,BIO-2016,Tissue Engineering,38.05,26.01,72.42,0.795,60.3,7.32,94.5,2.13,70.98,25.05,Failure
01-02-2026 08:30,BIO-2017,Protein Synthesis,32.03,21.09,57.91,0.519,74.22,7.27,101.16,2.58,75.29,19.21,Success
01-02-2026 09:00,BIO-2018,Drug Discovery,37.22,15.65,40.32,0.545,78.1,7.09,103.98,1.85,71.5,8.42,Success
